Unique Class Identifier,Subject,Catalog,Descr,Section,Cap Enrl,Pat,Mtg Start,Mtg End,Mode,Descr 1,Career,Term Descr
179010000292713,AMES,161,JAPANESE CINEMA,1,40,MW,3:30:00 PM,4:45:00 PM,In Person,Classroom Building 240,UGRD,2022 Spring Term
179010000292714,LIT,213,JAPANESE CINEMA,1,40,MW,3:30:00 PM,4:45:00 PM,In Person,Classroom Building 240,UGRD,2022 Spring Term
179010000292715,CINE,255,JAPANESE CINEMA,1,40,MW,3:30:00 PM,4:45:00 PM,In Person,Classroom Building 240,UGRD,2022 Spring Term
179010000292716,VMS,232,JAPANESE CINEMA,1,40,MW,3:30:00 PM,4:45:00 PM,In Person,Classroom Building 240,UGRD,2022 Spring Term
179010000502717,AMES,499S,SENIOR HONORS THESIS SEMINAR,1,18,MW,3:30:00 PM,4:45:00 PM,In Person,,UGRD,2022 Spring Term
179010000643872,AAAS,89S,FIRST-YEAR SEMINAR (TOP),2,18,TTH,12:00:00 PM,1:15:00 PM,In Person,Classroom Building 136,UGRD,2022 Spring Term
179010000649887,AAAS,89S,FIRST-YEAR SEMINAR (TOP),3,18,WF,10:15:00 AM,11:30:00 AM,In Person,Friedl Bldg 204,UGRD,2022 Spring Term
179010000753658,AAAS,190S,SPECIAL TOPICS,4,18,MW,7:00:00 PM,8:15:00 PM,In Person,Biddle 101,UGRD,2022 Spring Term
179010000759121,AAAS,190S,SPECIAL TOPICS,1,13,TH,10:15:00 AM,12:45:00 PM,In Person,Bridges House 113,UGRD,2022 Spring Term
179010000812672,AAAS,102,INTRO AFR-AMER STUDIES,1,28,TTH,3:30:00 PM,4:45:00 PM,In Person,Friedl Bldg 240,UGRD,2022 Spring Term
179010000812673,LIT,102,INTRO AFR-AMER STUDIES,1,28,TTH,3:30:00 PM,4:45:00 PM,In Person,Friedl Bldg 240,UGRD,2022 Spring Term
179010000822674,AAAS,103,INTRO TO AFRICAN STUDIES,1,32,T,1:45:00 PM,4:15:00 PM,In Person,Friedl Bldg 107,UGRD,2022 Spring Term
179010000822675,CULANTH,105,INTRO TO AFRICAN STUDIES,1,32,T,1:45:00 PM,4:15:00 PM,In Person,Friedl Bldg 107,UGRD,2022 Spring Term
179010000822676,HISTORY,129,INTRO TO AFRICAN STUDIES,1,32,T,1:45:00 PM,4:15:00 PM,In Person,Friedl Bldg 107,UGRD,2022 Spring Term
179010000822677,POLSCI,108,INTRO TO AFRICAN STUDIES,1,32,T,1:45:00 PM,4:15:00 PM,In Person,Friedl Bldg 107,UGRD,2022 Spring Term
179010000822678,ICS,110,INTRO TO AFRICAN STUDIES,1,32,T,1:45:00 PM,4:15:00 PM,In Person,Friedl Bldg 107,UGRD,2022 Spring Term
179010001752680,AAAS,499S,SENIOR SEMINAR,1,18,T,10:15:00 AM,12:45:00 PM,In Person,Friedl Bldg 216,UGRD,2022 Spring Term
179010001762681,AAAS,390,SPECIAL TOPICS,1,18,M,10:15:00 AM,12:45:00 PM,In Person,Friedl Bldg 240,UGRD,2022 Spring Term
179010001773873,AAAS,390S,SPECIAL TOPICS,1,18,TTH,1:45:00 PM,3:00:00 PM,In Person,West Duke 08A,UGRD,2022 Spring Term
179010001778804,AAAS,390S,SPECIAL TOPICS,3,14,WF,1:45:00 PM,3:00:00 PM,In Person,Page 106,UGRD,2022 Spring Term
179010001779131,AAAS,390S,SPECIAL TOPICS,4,18,W,3:30:00 PM,6:00:00 PM,In Person,Sanford 150,UGRD,2022 Spring Term
179010001779197,AAAS,390S,SPECIAL TOPICS,5,15,MW,1:45:00 PM,3:00:00 PM,In Person,West Duke 108A,UGRD,2022 Spring Term
179010005062722,ARABIC,101,ELEMENTARY ARABIC,1,18,MW,3:30:00 PM,4:45:00 PM,In Person,Crowell Building 107,UGRD,2022 Spring Term
179010005062723,ARABIC,101,ELEMENTARY ARABIC,01D,18,TTH,3:30:00 PM,4:20:00 PM,In Person,,UGRD,2022 Spring Term
179010005072724,ARABIC,102,ELEMENTARY ARABIC,1,18,MW,10:15:00 AM,11:30:00 AM,In Person,Crowell Building 107,UGRD,2022 Spring Term
179010005072725,ARABIC,102,ELEMENTARY ARABIC,2,18,MW,1:45:00 PM,2:35:00 PM,In Person,Friedl Bldg 126,UGRD,2022 Spring Term
179010005072726,ARABIC,102,ELEMENTARY ARABIC,01D,18,TTH,10:15:00 AM,11:05:00 AM,In Person,Classroom Building 136,UGRD,2022 Spring Term
179010005072727,ARABIC,102,ELEMENTARY ARABIC,02D,18,TTH,1:45:00 PM,3:00:00 PM,In Person,Friedl Bldg 126,UGRD,2022 Spring Term
179010005122728,ARABIC,203,INTERMEDIATE ARABIC,1,12,MF,3:30:00 PM,4:45:00 PM,In Person,White 106,UGRD,2022 Spring Term
179010005122729,ARABIC,203,INTERMEDIATE ARABIC,01D,12,W,3:30:00 PM,4:45:00 PM,In Person,White 106,UGRD,2022 Spring Term
179010005139112,ARABIC,204,INTERMEDIATE ARABIC,1,12,MF,10:15:00 AM,11:30:00 AM,In Person,Classroom Building 242,UGRD,2022 Spring Term
179010005139133,ARABIC,204,INTERMEDIATE ARABIC,01D,12,W,10:15:00 AM,11:30:00 AM,In Person,,UGRD,2022 Spring Term
179010005172730,ARABIC,306,ADVANCED ARABIC,1,12,WF,8:30:00 AM,9:45:00 AM,In Person,Allen 317,UGRD,2022 Spring Term
179010005252731,ARABIC,408,ISSUES IN ARABIC LANG/LIT II,1,12,WF,10:15:00 AM,11:30:00 AM,In Person,Allen 317,UGRD,2022 Spring Term
179010005295040,ARTHIST,89S,FIRST-YEAR SEMINAR (TOP),1,12,TH,12:00:00 PM,2:30:00 PM,In Person,Smith Warehouse Bay 11 A233,UGRD,2022 Spring Term
179010005299117,ARTHIST,89S,FIRST-YEAR SEMINAR (TOP),2,18,T,1:45:00 PM,4:15:00 PM,In Person,,UGRD,2022 Spring Term
179010005385041,ARTHIST,102D,WORLD ART HISTORY 1200-PRESENT,1,12,W,10:15:00 AM,11:30:00 AM,In Person,Smith Warehouse Bay 11 A233,UGRD,2022 Spring Term
179010005385042,ARTHIST,102D,WORLD ART HISTORY 1200-PRESENT,01D,12,F,10:15:00 AM,11:30:00 AM,In Person,Smith Warehouse Bay 6 B271,UGRD,2022 Spring Term
179010005505043,ARTHIST,225,GOTHIC CATHEDRALS,1,12,M,3:30:00 PM,4:45:00 PM,In Person,Smith Warehouse Bay 11 A233,UGRD,2022 Spring Term
179010005505044,ARTHIST,225,GOTHIC CATHEDRALS,01L,12,W,3:30:00 PM,4:45:00 PM,In Person,Smith Warehouse Bay 11 A233,UGRD,2022 Spring Term
179010005505045,MEDREN,215,GOTHIC CATHEDRALS,1,12,M,3:30:00 PM,4:45:00 PM,In Person,Smith Warehouse Bay 11 A233,UGRD,2022 Spring Term
179010005505046,MEDREN,215,GOTHIC CATHEDRALS,01L,12,W,3:30:00 PM,4:45:00 PM,In Person,Smith Warehouse Bay 11 A233,UGRD,2022 Spring Term
179010005875047,ARTHIST,231,HISTORY OF ART MARKETS,1,32,M,7:00:00 PM,9:30:00 PM,In Person,Smith Warehouse Bay 10 A266,UGRD,2022 Spring Term
179010005875048,ECON,344,HISTORY OF ART MARKETS,1,32,M,7:00:00 PM,9:30:00 PM,In Person,Smith Warehouse Bay 10 A266,UGRD,2022 Spring Term
179010005875049,VMS,242,HISTORY OF ART MARKETS,1,32,M,7:00:00 PM,9:30:00 PM,In Person,Smith Warehouse Bay 10 A266,UGRD,2022 Spring Term
179010006025050,ARTHIST,381D,GLOBAL ART SINCE 1945,1,18,W,10:15:00 AM,12:45:00 PM,Sync Online,Online Course,UGRD,2022 Spring Term
179010006025051,ARTHIST,381D,GLOBAL ART SINCE 1945,01D,18,F,10:15:00 AM,11:05:00 AM,In Person,Smith Warehouse Bay 9 A290,UGRD,2022 Spring Term
179010006025052,GSF,277D,GLOBAL ART SINCE 1945,1,18,W,10:15:00 AM,12:45:00 PM,Sync Online,Online Course,UGRD,2022 Spring Term
179010006025053,GSF,277D,GLOBAL ART SINCE 1945,01D,18,F,10:15:00 AM,11:05:00 AM,In Person,Smith Warehouse Bay 9 A290,UGRD,2022 Spring Term
