Subject,Class Number,Units,Start Time,End Time ,Days ,Building,Group,Class Size,Section #,Distance to Group 1
CS,101,1,10:15,11:30,TuTh,Bryan Center,,300,1,
CS,201,1,15:30,16:45,MoWe,Bryan Center,,300,1,
CS,210,1,10:15,11:30,MoWe,Gross Hall,5,220,1,
CS,216,1,15:30,16:45,WeFri,LSRC,3,180,1,
CS,230,1,15:30,16:45,TuTh,Social Sciences,4,100,1,
CS,240,1,13:45,15:00,TuTh,Old Chem,4,50,1,
CS,250,1,10:15,11:05,MoWeFr,White Lecture Hall,,200,1,
CS,260,1,10:15,11:30,TuTh,Biological Science,,300,1,
CS,290,1,10:15,11:30,WeFr,LSRC,3,50,1,
CS,308,1,15:30,16:45,TuTh,Gross Hall,5,100,1,
CS,323,1,10:15,11:30,MoWe,Social Sciences,4,60,1,
CS,330,1,13:45,15:00,WeFr,Gross Hall,5,229,1,
CS,334,1,17:15,18:30,TuTh,Physics ,3,40,1,
CS,342,1,15:30,16:45,TuTh,Bryan Center,,300,1,
CS,350,1,12:00,13:15,TuTh,Wilkinson,3,70,1,
CS,351,1,15:30,16:45,WeFr,Physics ,3,50,1,
CS,356,1,13:45,15:00,WeFr,Physics ,3,45,1,
CS,370,1,17:15,18:30,MoWe,LSRC,3,150,1,
CS,474,1,12:00,13:15,TuTh,Old Chem,4,20,1,
CS,243,1,17:15,18:30,We,Biological Science,3,170,1,
CS,330,1,,,,,,25,2,
