Location,Group_Number,Group_Category
Art Building,1,EC-Back
Baldwin Auditorium,1,EC-Back
Bell Tower,1,EC-Back
Biddle,1,EC-Back
Bivins,1,EC-Back
Brodie,1,EC-Back
Branson Hall,1,EC-Back
Brodie,1,EC-Back
Chesterfield,1,EC-Back
East Campus Tennis Court,1,EC-Back
The Ark,2,EC-Main
West Duke,2,EC-Main
White Lecture Hall,2,EC-Main
Classroom Building,2,EC-Main
East Duke,2,EC-Main
Friedl,2,EC-Main
Biological Sciences,3,Natural Sciences
French Science,3,Natural Sciences
LSRC,3,Natural Sciences
Physics,3,Natural Sciences
Gross Hall,3,Natural Sciences
Nanaline,3,Natural Sciences
Hudson Hall,3,Natural Sciences
Teer,3,Natural Sciences
Allen,4,West Campus - Main
Bryan Center,4,West Campus - Main
Duke Chapel,4,West Campus - Main
Divinity,4,West Campus - Main
Fitzpatrick,4,West Campus - Main
Languages,4,West Campus - Main
Grainger Hall,4,West Campus - Main
Gray,4,West Campus - Main
Languages,4,West Campus - Main
Old Chemistry,4,West Campus - Main
Page,4,West Campus - Main
Perkins,4,West Campus - Main
Reuben Cooke,4,West Campus - Main
Social Sciences,4,West Campus - Main
Wilkinson,4,West Campus - Main
Page,4,West Campus - Main
Crowell,4,West Campus - Main
Fuqua,5,WC - Side
Crowell,5,WC - Side
Sanford,5,WC - Side
Trent Hall,6,Duke Med
Franklin Center,6,Duke Med
Nasher,7,C-One
Rubenstein Arts Center,7,C-One
Smith Warehouse,7,C-One
Bridges House,7,C-One
Golf Course,8,Golf-Course
Wilson Center,9,Fitness
West Campus Tennis Courts,9,Fitness
Lemur Center,10,Lemur
